PILE;suggestion;path;title;lines;last_commit;age_days;commits;authors;refs;code_refs;orphan;stale;dup
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\02-supabase-best-practices.md;Vague 2 — Audit Supabase Best Practices;280;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\03-accounting-audit.md;Vague 3 — Audit Comptable (JE Matrix + SAK EMKM);340;2026-05-20;56;1;1;3;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\04-security-review.md;Vague 4 — Security Review (RBAC + RLS + Auth + EFs);392;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\05-ux-design-audit.md;Vague 5 — UX/UI Backoffice Audit;348;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\audits\2026-05-20-audit-integral-V3\06-completeness-audit.md;Vague 6 — Complétude Fonctionnelle V3 vs Vision V2;1029;2026-05-20;56;1;1;2;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-12-inv-02-rpcs-core.md;Session 12 — Phase 2 sub-plan : RPCs core (closing the gap);127;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-12-session-12-inv-03-transfers.md;Session 12 — Phase 3 sub-plan : Transfers (inter-section);465;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-2.C-promotions-bogo.md;Phase 2.C — Promotions BOGO + threshold engine (sub-plan);157;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-5.A-lan-port.md;Session 13 — Phase 5.A — LAN architecture port (sub-plan);109;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-13-session-13-phase-5.C-settings-ui.md;Session 13 — Phase 5.C — Settings UI + holidays/templates;172;2026-06-04;41;1;1;0;0;oui;non;non
;archive;docs\workplan\plans\archive\2026-05-15-session-15-INDEX.md;Session 15 — INDEX (Bakery Production : F6 + F5 + Recipe pro);424;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-17-INDEX.md;Session 17 — INDEX (Full Price Chain : PO → Cost → Recipe Cascade → Snapshot History);1324;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-18-INDEX.md;Session 18 — INDEX (Recipe Cost History Report);1090;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-19-INDEX.md;Session 19 — INDEX (Hardening polish: durable rate-limit + session timeout per role + PIN strength warn);2404;2026-06-04;41;1;1;3;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-17-session-20-INDEX.md;Session 20 — INDEX (Defense-in-depth GRANT hardening);1075;2026-06-04;41;1;1;1;0;non;non;non
;archive;docs\workplan\plans\archive\2026-05-18-session-21-INDEX.md;Session 21 — INDEX (Polish hardening reliquat);474;2026-06-04;41;1;1;1;0;non;non;non
